,accum_neg_oob,avg_brake,avg_brake_input,avg_oob_counter,avg_oob_distance,avg_steering,avg_steering_input,avg_throttle,avg_throttle_input,avg_vel_kmh,avg_wheelspeed,description,kappas,max_brake,max_brake_input,max_oob_counter,max_oob_distance,max_oob_percentage,max_steering,max_steering_input,max_throttle,max_throttle_input,max_vel_kmh,max_wheelspeed,mean_brake,mean_brake_input,mean_oob_counter,mean_oob_distance,mean_steering,mean_steering_input,mean_throttle,mean_throttle_input,mean_vel_kmh,mean_wheelspeed,method,min_brake,min_brake_input,min_oob_counter,min_oob_distance,min_steering,min_steering_input,min_throttle,min_throttle_input,min_vel_kmh,min_wheelspeed,outcome,road,parent_index,parent_min_oob_distance,parent_outcome
0,0.0,0.026389272368982166,0.026650552293427533,0.0,1.574481676993524,19.206669752401602,-0.038167644402944664,0.15483146448073506,0.21313260956365113,34.490196078431374,9.68848105732937,Successful test,"[-0.04387755102040816, -0.0031986672219908308, 0.022311536859641823, 0.06003178947547366, 0.017374835662150354, 0.053089121376436066, 0.029034155944756775, 0.034727529856130174, 0.04215592811628741, 0.05252480018937065, 0.01767229402440989, -0.018041991689875827, -0.01498076720007991, -0.028246073322528896, -0.008206539176397007, 0.015262848578705038, 0.004038358782786675, 0.005058766946051979, 0.032609787354215256]",0.5418223075941393,0.5418223075941393,0.0,1.9987932867555491,0.0,109.72037155240703,0.37906710403129695,0.9976279656480638,0.9976279656480638,57.0,15.996196822553788,0.026389272368982166,0.026650552293427533,0.0,1.574481676993524,19.206669752401602,-0.038167644402944664,0.15483146448073506,0.21313260956365113,34.490196078431374,9.68848105732937,random,0.0,0.0,0.0,0.5441907009464451,-182.11176738087863,-0.2145667222947183,0.0,0.0,0.0,0.0,PASS,"[(94.60782374735813, 40.11055469049873), (94.61578701446545, 50.11055151981708), (96.9556658119521, 59.83294665749135), (98.35716741118667, 69.7342492620653), (95.67921886264917, 79.36900881129048), (89.56278100154056, 87.28034168832184), (81.09203563850812, 92.59508279158025), (71.20391199213383, 94.08672978534706), (61.34652036584306, 92.40392548123663), (52.839633212973524, 87.14722775658636), (47.664943700148875, 78.5902079222128), (45.747835901671856, 68.77569327863421), (43.81258937305998, 58.964739152072625), (40.29108951594185, 49.6053033380763), (34.84434026159081, 41.218830744653815), (27.967715630709336, 33.95852540080262), (21.35147218883379, 26.460170733421325), (15.488528513145008, 18.359189838757956), (10.0, 10.0)]",,,
1,-4.3472836376990145,0.017196645123316964,0.01737766244040451,0.0,0.8864739035650399,-46.20300613138975,0.09161254517554114,0.14380182237450975,0.1833074284376185,33.65625,9.526470599402302,Successful test,"[-0.009183673469387754, -0.010204081632653059, -0.06020408163265306, -0.013865056226572262, -0.04345689296126614, -0.05750316619775774, -0.027910295602571543, -0.04744741933124201, -0.019657393005351596, -0.059453311372698533, -0.00945331137269853, 0.011975260055872905, 0.05585281107628108, 0.005852811076281078, 0.04360791311709741, 0.0014030240235160425, -0.02818881271117784, -0.0016935932717057067, 0.03504110060584531]",0.4440965361837903,0.4440965361837903,0.0,1.964394556106598,0.0,79.16492347106855,0.2811588806776078,0.7708193350030279,0.7708193350030279,48.0,13.431840687834848,0.017196645123316964,0.01737766244040451,0.0,0.8864739035650399,-46.20300613138975,0.09161254517554114,0.14380182237450975,0.1833074284376185,33.65625,9.526470599402302,random,0.0,0.0,0.0,-0.42698029808825044,-143.60678381309074,-0.1547178870310044,0.0,0.0,0.0,0.0,PASS,"[(10.0, 72.0250020710483), (10.007963267107328, 82.02499890036665), (10.983759065832274, 91.97727615530638), (15.331396563569626, 100.98272162947745), (22.643684441846744, 107.80404452061826), (31.58608906466202, 112.27991310245264), (41.577793379243644, 111.87267252248643), (50.503406307741926, 107.3634116239994), (57.14377623494312, 99.88641441723772), (60.9519586764076, 90.63991526931575), (60.90323423603971, 80.64003397357475), (57.47984061400672, 71.24427024151848), (54.17519418789519, 61.80608651802653), (54.198639386750784, 51.80611400193177), (57.25753496369873, 42.28544397039889), (62.5539363345118, 33.80321946740149), (69.60966296509253, 26.716843686050787), (75.65596885210618, 18.751783415050696), (80.49397330188128, 10.0)]",,,
2,0.0,0.022231483333600706,0.02243544189629429,0.0,1.4692738063202113,30.101111430506247,-0.0597879483716842,0.12189998812735266,0.13977380231540193,32.22727272727273,8.982838783742347,Successful test,"[-0.0336734693877551, -0.031241149521032907, -0.02833768242823994, 0.016050338944917614, 0.03339727772042782, 0.06116298752249265, 0.01836751966259559, 0.031632825785044574, -0.0021364687469023896, 0.045822714926567004, 0.05032031212337492, 0.0500915177495357, 0.04146592561205539, 0.055575374092010174, 0.033185928052577245, 0.007989948608983749, 0.027377703711024562, -0.0037197868422457585, 0.005463886627141992]",0.7567504448989664,0.7567504448989664,0.0,1.9959198192299457,0.0,159.69167697078697,0.31099763347119636,0.6784961941278975,0.6784961941278975,47.0,13.033109266850285,0.022231483333600706,0.02243544189629429,0.0,1.4692738063202113,30.101111430506247,-0.0597879483716842,0.12189998812735266,0.13977380231540193,32.22727272727273,8.982838783742347,random,0.0,0.0,0.0,0.7776579642046078,-157.3031036675402,-0.3104745943243073,0.0,0.0,0.0,0.0,PASS,"[(43.98774715189876, 10.0), (43.99571041900609, 19.99999682931835), (47.192298883613745, 29.47532385206206), (53.02918108231576, 37.59510255584922), (59.35358996789141, 45.341188809438954), (63.59001027679214, 54.39948572256415), (63.2366927173819, 64.39324210853897), (59.04081034224339, 73.47038764521524), (52.72963264645966, 81.22725789630505), (45.34711303294738, 87.97250838506426), (36.67832744831867, 92.95770211126323), (26.68680307206914, 93.36933378984439), (17.730207646888147, 88.9219302338775), (11.661442378114472, 80.9739689787803), (10.0, 71.1129543644414), (12.733637486252093, 61.493847020526516), (17.375960268279755, 52.63671208944034), (23.504014891539924, 44.734374047168316), (30.52183217878371, 37.61045374140532)]",,,
3,-7.982175521434402,0.018500428791756143,0.018689208677386306,0.0,0.9659388921355951,-69.6056864586924,0.13780655556037769,0.14865249865832983,0.18409030985179,31.838383838383837,9.06626178993628,Successful test,"[-0.017346938775510204, -0.010204081632653059, -0.03979591836734694, -0.032353186172428154, -0.06105644756861513, -0.05436191466106116, -0.036511180949521, -0.07, -0.013877551020408163, 0.009695960016659733, -0.04030403998334027, -0.04072393305510459, -0.01822787464823157, 0.03177212535176843, 0.04119089807404684, -0.005592403888159155, -0.027020975316730582, -0.05292221995613419, -0.061786394280342966]",0.42070684399194497,0.42070684399194497,0.0,1.9975550192488438,0.0,73.83528165762112,0.3787897433380124,0.7718108441567495,0.7718108441567495,50.0,13.98832169391028,0.018500428791756143,0.018689208677386306,0.0,0.9659388921355951,-69.6056864586924,0.13780655556037769,0.14865249865832983,0.18409030985179,31.838383838383837,9.06626178993628,random,0.0,0.0,0.0,-0.3642072061293975,-194.15743055574066,-0.1445552022286656,0.0,0.0,0.0,0.0,PASS,"[(24.611590745460546, 63.707086021483114), (24.619554012567875, 73.70708285080147), (26.000639716584317, 83.61125380440285), (29.789121917707476, 92.8658419968495), (36.600363706408146, 100.18752112774958), (45.9787347356706, 103.65827851447236), (55.73191263058965, 101.4502203290836), (63.52643048444142, 95.18559811972526), (67.0607222738933, 85.83098527113484), (65.71795020224491, 75.92154718597575), (63.41751312181475, 66.18974420610702), (59.66041116873171, 56.922372145261534), (52.554747102793755, 49.88607068909594), (43.711423962231635, 45.21749105160464), (35.204292014937096, 39.96118949715395), (29.13234195914606, 32.015661036442275), (24.563110474337478, 23.120599280713204), (18.610423915693104, 15.085331846798226), (10.0, 10.0)]",,,
4,0.0,0.050191389905573654,0.05081103669453135,0.0,1.4379168646261664,0.9173003328494694,-0.0015532872486943576,0.22349443560999044,0.29153339791486355,41.36585365853659,11.661455477013178,Successful test,"[0.037755102040816335, -0.028046647230320694, -0.011720116618075795, -0.004577259475218649, 0.012769679300291555, 0.02603498542274054, 0.0009644790860950936, 0.012188968882013464, -0.017402867852680415, -0.06128041887308858, -0.01847057166413895, -0.007246081868220573, 0.003978407927697797, -0.037858326766179756, 0.0004071484861316449, 0.01571327093511124, -0.017960198452643863, -0.021021422942439777, -0.03364052271354931]",0.6233279595310746,0.6233279595310746,0.0,1.997547313836526,0.0,127.40456254758874,0.1810778827392427,0.9999998503120935,0.9999998503120935,63.0,17.758019829008262,0.050191389905573654,0.05081103669453135,0.0,1.4379168646261664,0.9173003328494694,-0.0015532872486943576,0.22349443560999044,0.29153339791486355,41.36585365853659,11.661455477013178,random,0.0,0.0,0.0,0.08490762596157952,-92.65383276075248,-0.24408069350576322,0.0,0.0,0.0,0.0,PASS,"[(30.67203785044495, 10.0), (30.68000111755228, 19.99999682931835), (28.83561101818971, 29.828436439010893), (27.594595499494176, 39.75113166169898), (27.16537288684043, 49.74191581254453), (26.327381262944513, 59.70674245620875), (23.58381228592978, 69.32302184422376), (19.570972625029142, 78.4825588333899), (14.96484496543519, 87.35857077477009), (10.591649360794236, 96.35163255614071), (10.0, 106.33411476418254), (13.33067952346768, 115.76314302333805), (17.842939889063302, 124.68723997446284), (22.500396719827066, 133.5364261443641), (28.58307681368359, 141.47374325254376), (36.03706270214319, 148.13993364696285), (42.93012122325405, 155.3846382113009), (49.90413465612684, 162.55144619241145), (58.13413987614176, 168.23185234677464)]",,,
5,0.0,0.015232528746712284,0.015405625664288559,0.0,1.3090538809492827,-22.57434419150051,0.04478185163074167,0.1457165669942503,0.16314676511452725,37.258426966292134,10.537196543472039,Successful test,"[-0.0030612244897959134, 0.006122448979591841, 0.0030612244897959273, -0.040816326530612235, -0.03606413994169096, -0.034027488546438986, -0.04543642529898257, -0.012175186966557922, 0.011294200788544123, 0.061294200788544126, 0.019680743533037823, 0.022741968022833743, 0.02037855511369069, -0.02758835417434382, -0.03982476870998982, -0.038911645009996054, -0.031938119086324684, 0.007278793454857935, 0.04299307916914365]",0.45597723252299416,0.45597723252299416,0.0,1.9849251698866484,0.0,99.98713753184188,0.2226511597241401,0.7134361265577371,0.7134361265577371,47.0,13.500390943465705,0.015232528746712284,0.015405625664288559,0.0,1.3090538809492827,-22.57434419150051,0.04478185163074167,0.1457165669942503,0.16314676511452725,37.258426966292134,10.537196543472039,random,0.0,0.0,0.0,0.3023343443442019,-113.46352595493497,-0.19690521948839576,0.0,0.0,0.0,0.0,PASS,"[(10.741043533228577, 10.0), (10.749006800335906, 19.99999682931835), (10.603913935087789, 29.9989441769372), (10.0, 39.980691917639064), (11.279952587963479, 49.8984397150256), (16.185704249041265, 58.612428505460926), (23.78501988334567, 65.11245942001946), (33.30753482665864, 68.16560683774782), (43.305068313388716, 68.38769731865746), (53.30348309718033, 68.56574734324927), (62.58735255137094, 72.28189695777593), (69.65683266356342, 79.35455211290085), (75.07889082419157, 87.75700921203355), (78.57782643707759, 97.12490383018965), (82.41211886142, 106.36060638086929), (89.0850771898105, 113.80853408913578), (98.10453472951451, 118.1270275405001), (108.06197464321559, 119.04865130594484), (118.05716901110705, 118.73866816435302)]",,,
6,,,,,,,,,,,,The road is too sharp,"[-0.0336734693877551, -0.018908788004997915, 0.02700957934194087, 0.05861341787860501, 0.04619703958558154, 0.06548145140319887, 0.0366212967774687, 0.04277430098856121, 0.03690327185224052, 0.029299561723546377, 0.06259588258967726, 0.03954067239452263, -0.002249192135530702, -0.04612674315593887, -0.04286288524095714, -0.07, -0.0679591836734694, -0.042386505622657236, -0.0003062499468758917]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(48.69631987299395, 42.27940373997947), (48.70428314010128, 52.27940056929782), (51.310900915085625, 61.93370239672872), (53.524450301184004, 71.68563549305908), (51.489646853021654, 81.47642580474212), (44.82867694866745, 88.935077152894), (35.22768675932812, 91.73167998207978), (25.48439271803103, 89.48040895778607), (17.36921537353247, 83.63713105344698), (12.156357210002412, 75.1033095315895), (10.0, 65.33857074435763), (12.397753082348217, 55.630286644884144), (19.234726569532086, 48.332629929503184), (27.306026992917708, 42.428893021793364), (33.72825713043498, 34.763714611556274), (36.22599624428004, 25.0806727692854), (33.15762878759021, 15.563051157205685), (24.733942195622504, 10.174034159616653), (14.735456704745076, 10.0)]",,,
7,-4.18065882924282,0.010627686668090188,0.010731879674640092,0.0,1.316334107108338,1.4107155454972302,-0.0030877279944265218,0.11932166950024611,0.13849728740608716,32.83495145631068,9.2452954083384,Successful test,"[-0.013265306122448979, -0.02857142857142858, -0.019620991253644318, 0.026297376093294467, -0.021790325459629913, -0.0619828837109902, -0.06171184053014146, -0.03907158885272813, -0.0055875911276815765, 0.009718531321298018, 0.04339200070905312, 0.018866285989224685, 0.060240186622587295, 0.01267936267880822, 0.03206711778084903, 0.07, 0.031224489795918374, 0.017459391920033325, 0.02460224906289047]",0.2893610959684949,0.2893610959684949,0.0,1.99497518726765,0.0,143.5360145579653,0.2731052302577781,0.839745433812254,0.839745433812254,43.0,12.04093022174638,0.010627686668090188,0.010731879674640092,0.0,1.316334107108338,1.4107155454972302,-0.0030877279944265218,0.11932166950024611,0.13849728740608716,32.83495145631068,9.2452954083384,random,0.0,0.0,0.0,-0.9977087385703785,-139.24464853074687,-0.2870781364689698,0.0,0.0,0.0,0.0,PASS,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (12.092366661553271, 29.78034766603286), (16.450503177795184, 38.78071688655925), (20.505817823538692, 47.92152774359038), (24.354129739842833, 57.15139748236955), (31.62377475124879, 64.01814790801781), (41.528110937604765, 65.39804816080404), (50.86761478409926, 61.82402131405059), (59.18379572396549, 56.27054181238627), (67.6129001189137, 50.89000288965142), (77.15862683567039, 47.91022077530184), (87.09158378773216, 49.066233832532475), (95.23886851892604, 54.864660473342475), (100.78304463414898, 63.187046621761176), (104.34254616171086, 72.53209605315985), (102.88372099688101, 82.42511526563786), (96.81175588717025, 90.37063222216467), (89.00374596549034, 96.61843031933043)]",,,
8,0.0,0.02767388666140855,0.027977995306039415,0.0,1.3584622406624336,18.939560986859206,-0.037342202633035525,0.14566741989711285,0.16782484838196987,37.09782608695652,10.417238051642997,Successful test,"[0.0336734693877551, 0.010099958350687215, -0.0011245314452311486, 0.032548937942523955, 0.011104386777618172, 0.0019207133082304179, 0.02130846841027123, 0.007562500422824657, 0.0004196432799675118, 0.03817474532078385, 0.03994174317906347, 0.04712621233687528, 0.0015878728060461774, -0.038208045561300766, -0.05163854084029201, -0.03791196814952483, -0.03314414896509278, -0.020368085122910162, 0.023532001721349657]",0.6219085191972652,0.6219085191972652,0.0,1.9936640732406905,0.0,96.14835651494059,0.25997059930562577,0.8633282874598343,0.8633282874598343,58.0,16.361862568560145,0.02767388666140855,0.027977995306039415,0.0,1.3584622406624336,18.939560986859206,-0.037342202633035525,0.14566741989711285,0.16782484838196987,37.09782608695652,10.417238051642997,random,0.0,0.0,0.0,0.3148947510291553,-132.87238858048843,-0.18861694712199076,0.0,0.0,0.0,0.0,PASS,"[(131.89147934703675, 10.0), (131.8994426141441, 19.99999682931835), (129.73597733014157, 29.76316321963025), (127.13669436431564, 39.41944242352484), (123.05845087400715, 48.550046457966175), (117.09984675679257, 56.580926669643695), (110.63122892188612, 64.20699927000163), (103.32244541471802, 71.0320768259967), (95.10786634550256, 76.73476835856333), (86.67229066847267, 82.1051559606924), (77.36337667527764, 85.75811644053579), (67.3647596994653, 85.59180777871276), (58.368881124347965, 81.22440939274601), (50.69181507393767, 74.81639434457098), (41.976312258254694, 69.91333298764079), (31.99628189015211, 69.28167338647077), (22.726587870021916, 73.03304283950555), (15.340722999321361, 79.77463019796583), (10.0, 88.22901828017024)]",,,
9,,,,,,,,,,,,The road is self-intersecting,"[-0.015306122448979595, -0.04081632653061225, -0.058688046647230326, -0.04622597727137503, -0.03687696938714797, -0.05642889296116702, -0.05183682656033344, -0.06721782965552382, -0.04199313410293101, -0.04930430088445109, -0.06567169189088477, -0.034520288581802304, -0.00022064374024677313, -0.025730847821879427, 0.006954409941322917, 0.0365462466760168, 0.06489058653118471, 0.0643765904623658, 0.05410759727496166]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(45.766245482375524, 18.124414023307704), (45.77420874948285, 28.124410852626053), (48.55129964395411, 37.73106303555872), (55.57648615075088, 44.84771636031191), (65.22137289856684, 47.48895842074559), (75.11172954159412, 46.01218982894577), (83.28091609826103, 40.24466080844033), (87.31024791917352, 31.092366829498108), (85.514503664736, 21.254922925075853), (78.87111711666262, 13.780605887855831), (69.61330856816099, 10.0), (59.78797844125312, 11.860883633459284), (52.06368798593354, 18.211894337422784), (45.55329917344294, 25.80233816569773), (40.07979638614988, 34.17137438485075), (35.414947017083065, 43.01666580819668), (28.95125821333872, 50.646916593613234), (19.59509782143941, 54.17710960831578), (10.0, 51.360356549027735)]",,,
