timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(11.902337074279785, 46.82309341430664, -28)	(-0.03847305476665497, 0.9992596507072449, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	1.9956642304605599
0.20000000298023224	(11.900863647460938, 46.82573699951172, -27.970073699951172)	(-0.040162745863199234, 0.9991780519485474, -0.0055028037168085575)	(-0.0260944701731205, 0.10790857672691345, 0.16482609510421753)	-78.05303070236582	0.1835555745253067	0	0	0.5	0.5	0.07932980321101925	1	False	0	0	1.9942801567058983
0.41225000843405724	(11.894991874694824, 46.919517517089844, -27.889930725097656)	(-0.04201218858361244, 0.9991090893745422, -0.004018362611532211)	(0.035367049276828766, 0.6409376263618469, 0.6852738857269287)	-121.9600697926436	0.23588315102887755	0	0	0.16919356022029464	0.16919356022029464	0.61957968225295	3	False	0	0	1.9915521387855513
0.598500020802021	(11.90278148651123, 47.042144775390625, -27.795734405517578)	(-0.032964251935482025, 0.999453067779541, -0.0026259019505232573)	(0.05664290860295296, 0.8833193778991699, 0.35261279344558716)	-109.22237514283184	0.21183924791305334	0	0	0.4682692102936767	0.4682692102936767	1.0123216734824496	3	False	0	0	1.9965561555740552
0.7802500315010548	(11.91225528717041, 47.273529052734375, -27.748212814331055)	(-0.025077268481254578, 0.9996297955513, 0.010555674321949482)	(0.05369044095277786, 1.6938693523406982, 0.031115708872675896)	-106.453638145366	0.2080043426108353	0	0	0.34466059028013646	0.34466059028013646	1.812111490943349	6	False	0	0	1.979777840377356
0.9587500393390656	(11.931074142456055, 47.66654968261719, -27.7528076171875)	(-0.008682876825332642, 0.9998820424079895, 0.012666416354477406)	(0.1973014771938324, 2.668163299560547, 0.026792418211698532)	-101.33353030299811	0.19535109692906322	0	0	0	0	2.618455131397767	10	False	0	0	1.951069254429562
1.1435000486671925	(11.961984634399414, 48.139671325683594, -27.765260696411133)	(0.011152630671858788, 0.9999377727508545, 0.00038864760426804423)	(0.16206474602222443, 2.5263864994049072, -0.05815328285098076)	-92.3780127835818	0.17752654240014112	0	0	0.23267747860985294	0.23267747860985294	2.741882216413513	9	False	0	0	1.9082560364013206
1.331000056117773	(12.003310203552246, 48.6895751953125, -27.766021728515625)	(0.03070126101374626, 0.9995270371437073, 0.0017782826907932758)	(0.24297313392162323, 2.9173336029052734, -0.03553455322980881)	-84.30063848479296	0.16234896240959565	0	0	0	0	2.5649858672776027	11	False	0	0	1.8575544093436898
1.5090000629425049	(12.052084922790527, 49.22409439086914, -27.76727867126465)	(0.04882601276040077, 0.9988058805465698, -0.001649318146519363)	(0.30151382088661194, 3.445692777633667, 0.01713726297020912)	-78.27816124698579	0.1517502074539956	0	0	0.0438778082888424	0.0438778082888424	3.504174507210198	12	False	0	0	1.8007134342476807
1.6840000711381435	(12.116636276245117, 49.827823638916016, -27.769588470458984)	(0.06795752793550491, 0.9976814389228821, -0.0036719790659844875)	(0.39087700843811035, 3.264961004257202, -0.01111991610378027)	-75.87793778732834	0.1490000779919461	0	0	0.19045527703060278	0.19045527703060278	3.33779854466409	12	False	0	0	1.7336544084025776
1.8660000786185265	(12.198234558105469, 50.47685623168945, -27.767166137695312)	(0.08861666172742844, 0.9960653185844421, -0.0009559606551192701)	(0.4887719452381134, 3.7844536304473877, -0.009190214797854424)	-77.47629885000306	0.15336522114023274	0	0	0.003639462580891326	0.003639462580891326	3.760825139691045	14	False	0	0	1.6536809746432375
