,accum_neg_oob,ancestors,avg_brake,avg_brake_input,avg_oob_counter,avg_oob_distance,avg_steering,avg_steering_input,avg_throttle,avg_throttle_input,avg_vel_kmh,avg_wheelspeed,description,generation,kappas,max_brake,max_brake_input,max_oob_counter,max_oob_distance,max_oob_percentage,max_steering,max_steering_input,max_throttle,max_throttle_input,max_vel_kmh,max_wheelspeed,mean_brake,mean_brake_input,mean_oob_counter,mean_oob_distance,mean_steering,mean_steering_input,mean_throttle,mean_throttle_input,mean_vel_kmh,mean_wheelspeed,method,min_brake,min_brake_input,min_oob_counter,min_oob_distance,min_steering,min_steering_input,min_throttle,min_throttle_input,min_vel_kmh,min_wheelspeed,outcome,road,simulation_file,visited,parent_index,parent_min_oob_distance,parent_outcome
0,0.0,[],0.008298975361248259,0.008319266254552045,0.0,1.4146339084158943,20.544266847224694,-0.04039045492795974,0.1326574191196079,0.1409386616663332,32.78780487804878,9.206061627032572,Successful test,0.0,"[0.017346938775510204, -0.004081632653061225, 0.03775510204081633, 0.05153685964181592, 0.029480998563523708, 0.06261069376028766, 0.013781904091710359, 0.02500639388762873, -0.009484445930759635, -0.047239547971575965, -0.04475657786768962, -0.03314607895560308, -0.02391424597644245, 0.014320151490060717, 0.025544641285979088, 0.01409784892435497, 0.043689685659048856]",0.854732313797365,0.854732313797365,0.0,1.994607486423424,0.0,130.83152680072268,0.23368310661419567,0.5420517219445098,0.5420517219445098,47.0,13.322349336959585,0.008298975361248259,0.008319266254552045,0.0,1.4146339084158943,20.544266847224694,-0.04039045492795974,0.1326574191196079,0.1409386616663332,32.78780487804878,9.206061627032572,random,0.0,0.0,0.0,0.3246175779611258,-119.25054151467727,-0.2565274053932103,0.0,0.0,0.0,0.0,PASS,"[(122.98181675385311, 10.0), (122.98978002096044, 19.99999682931835), (122.33494688259809, 29.9785334735815), (120.01723991728481, 39.70623795217964), (113.72653135125283, 47.47971759370774), (104.881412622532, 52.14489440437975), (94.88451032550526, 52.393780851783944), (85.5152668429996, 48.89845875424772), (76.99532220039843, 43.66295082406446), (68.90694228043748, 37.78263533334693), (59.496198016823044, 34.400640004425256), (49.56222446688825, 35.54788431545751), (40.80801769103806, 40.38150239363234), (33.76809072803502, 47.48357451066852), (27.076821338711326, 54.91505578693503), (19.046551387192032, 60.874482311838776), (10.0, 65.13592666779297)]",sim_2021-01-28--00-18-21,False,,,
1,,[],,,,,,,,,,,The road is self-intersecting,0.0,"[0.05, 0.020000000000000004, -0.009591836734693875, 0.04040816326530613, -0.0030945439400249857, 0.02445647646813829, 0.06610026434563829, 0.06340003236885366, 0.027261248931583378, 0.03971795883480274, 0.012655684882001954, 0.0524516032493489, 0.061728767744818246, 0.028377691246298745, -0.01227309357475215, 0.035686090098717246, -0.0005483735908692437, 0.006594483551987898, 0.04843121824586545, 0.05101236402441329, 0.020723117160295203, 0.047713352831903005, 0.0640990492107676, 0.03235242089704757, 0.04138038233372982, 0.06679103601362163, 0.022220522134680645, 0.020112511293204415]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(67.87824264615054, 11.63691367268646), (67.88620591325787, 21.63691050200481), (64.46470940174888, 31.03336523885806), (60.55906648953688, 40.239121777149094), (55.286862053886516, 48.73640724891645), (48.53000683255697, 56.10830710702574), (41.025763253195045, 62.71787050422568), (31.386212787987517, 65.37852208395523), (22.09287811304724, 61.68610680130449), (15.355190781224309, 54.2966839944411), (11.420508028042313, 45.10330204698498), (10.0, 35.20470836190692), (11.819837557437616, 25.37169299201455), (18.664748298004078, 18.081480584019985), (28.001127573595895, 14.499299401793206), (37.595391205518204, 11.679706282002176), (47.45331120956583, 10.0), (57.45307192404454, 10.069178415479275), (67.44617268211746, 10.440577444829504), (76.9625376505287, 13.512840094408096), (83.86117971468494, 20.75222802921683), (87.77951884087537, 29.95258772284648), (88.38356793911984, 39.934327285012486), (83.60142506470999, 48.71675915373377), (75.29156581321635, 54.27969356107359), (65.53533702680161, 56.47423220669657), (56.04173299846463, 53.33234065014281), (48.825556797554576, 46.40942211549145)]",,False,,,
2,,[],,,,,,,,,,,The road is self-intersecting,0.0,"[0.01122448979591837, -0.030612244897959183, -0.05540608079966681, -0.05813581075912248, -0.019498621027855087, -0.04500882510948774, -0.06693913571875461, -0.05808837740625104, -0.00808837740625104, -0.033598581487883694, -0.05765694021255482, -0.04455385314798156, -0.07, -0.04346938775510205, -0.04188671386922116, -0.03492872867597685, -0.03701318050701144, -0.0666127828778372, -0.03622441365740721, -0.025547648063114034]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(10.0, 23.180222176612205), (10.007963267107328, 33.18021900593055), (10.983759065832274, 43.13249626087028), (16.020329433848474, 51.771533182195554), (24.912066637153288, 56.34723088936165), (34.874169017863764, 57.21701026152597), (44.59826539942341, 54.88421160708993), (51.599763335893016, 47.74425175807035), (53.09878880888084, 37.857243988712945), (51.30441944190764, 28.019549209199393), (47.513184778453194, 18.76608824982741), (40.03263428614255, 12.12972144772921), (30.262051572963045, 10.0), (20.89659412056959, 13.505453851843978), (14.88224457683485, 21.494671558589598), (12.71443791630135, 31.256874910422965), (14.362501777301304, 41.120134286007996), (19.376978881959715, 49.772013813998235), (28.01818816247983, 54.80485616899536), (38.01731575092603, 54.9369450404958)]",,False,,,
3,,[],,,,,,,,,,,The road is self-intersecting,0.0,"[-0.0030612244897959134, 0.04693877551020409, 0.023777592669720952, 0.020906935035571922, 0.03562077337968822, -0.012657201587244196, -0.04020822199540745, -0.008120661955622104, -0.04383494766990782, -0.06533683353081068, -0.04991965313376719, -0.057128099555181736, -0.014826699609649281, -0.050540985323935, -0.010463701706229997, -0.056382069053168775, -0.051823448300905364, -0.0491296270308894, -0.033841646444331325, 0.014400019809634623, 0.05215512185045096, 0.06307705325004603]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(61.31980784411988, 10.0), (61.32777111122721, 19.99999682931835), (59.15922325601399, 29.762035561040843), (53.744618752105566, 38.16929778284971), (46.60181091941298, 45.16789023170866), (37.790568131119, 49.89673792705024), (28.495577515486332, 53.58498269323652), (20.48700586055716, 59.5735367798141), (14.144175565397319, 67.30454601838072), (10.0, 76.40541459688265), (11.182786490519867, 86.33521903190773), (17.585401289351644, 94.01678942719671), (27.01054791292181, 97.35843739252819), (37.00873249342503, 97.16789843538893), (46.41646156594942, 93.77752475421761), (54.371747199330386, 87.71836388068715), (59.89916368735126, 79.38483719818622), (60.34524538839288, 69.3947915968891), (55.90448839328502, 60.43489889047791), (48.22906127794042, 54.02492084082494), (39.96774864908525, 48.390143680340415), (34.000357591567834, 40.365790499761864)]",,False,,,
4,-2.6811622458329136,[],0.011335798777093592,0.011385517192782598,0.0,1.2952762375727633,-35.49032636175025,0.06999395801621283,0.20003338536298979,0.20091072477247657,32.33187772925764,9.148393389172917,Successful test,0.0,"[0.017346938775510204, -0.014285714285714287, 0.031632653061224494, 0.01048729695960017, -0.03543107038733861, -0.06654820695458526, -0.022002471551056148, -0.02200121055561935, -0.06000012352608361, -0.02591845810079612, -0.021999213316732713, -0.04999983945239443, -0.05428567824441508, -0.04183671924760647, -0.03969178909601068]",0.8203875219308552,0.8203875219308552,0.0,1.9999505741592813,0.0,30.114985211505257,0.2740177030732668,1.0,1.0,46.0,13.101123561751942,0.011335798777093592,0.011385517192782598,0.0,1.2952762375727633,-35.49032636175025,0.06999395801621283,0.20003338536298979,0.20091072477247657,32.33187772925764,9.148393389172917,random,0.0,0.0,0.0,-0.1864763292611178,-139.46056911756475,-0.05906412198951038,0.0,0.0,0.0,0.0,PASS,"[(16.07634241244915, 10.0), (16.08430567955648, 19.99999682931835), (15.939212814308362, 29.9989441769372), (14.928496701447187, 39.94773570853554), (11.860352221664357, 49.46542920282175), (10.0, 59.29085996240418), (13.171956943824895, 68.77446102668989), (20.101108954747815, 75.9846518986102), (28.436829667724226, 81.50875908396206), (38.283664989802034, 83.25227109707835), (47.96194538844895, 80.73614539966843), (56.76668930330737, 75.99520829886617), (63.33694688876233, 68.45652703084778), (65.2789193251516, 58.646902009660465), (62.46568522398093, 49.05077185777057)]",sim_2021-01-28--00-19-09,False,,,
5,0.0,[],0.02529748592715199,0.02554795608484656,0.0,1.5108047969515974,-18.035765803521443,0.03542868636415321,0.18763447189509358,0.2439303113705501,38.0,10.686374042439226,Successful test,0.0,"[-0.047959183673469394, -0.030304039983340282, 0.0013906620540760917, -0.04860933794592391, -0.01900666996137422, 0.0024219014671972156, 0.04017700350801355, 0.05208055180792141, 0.025644441997009902, 0.006454420120435244, -0.03130068192038108, -0.01569429505329454, 0.03430570494670546, -0.008698842395882742, 0.03313789229799481, 0.02390990203567072, 0.0013642157397648035, 0.04524176676017298, 0.01965261843032058, 0.043122006185422626, 0.029207595118795684]",0.4430150091074227,0.4430150091074227,0.0,1.991466630211768,0.0,95.4327281606066,0.46360223780062065,0.9922506219383018,0.9999926940415306,62.0,17.663908982271828,0.02529748592715199,0.02554795608484656,0.0,1.5108047969515974,-18.035765803521443,0.03542868636415321,0.18763447189509358,0.2439303113705501,38.0,10.686374042439226,random,0.0,0.0,0.0,0.3404872124894327,-236.33524137057182,-0.18715925088845553,0.0,0.0,0.0,0.0,PASS,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (13.82937711692054, 29.24103552572341), (18.942227105061207, 37.835147754381474), (25.92345831757129, 44.99492503845079), (34.884233784831494, 49.43390048615802), (44.1818933114771, 53.11541204074752), (52.49122078970524, 58.67914072388463), (57.45563292570216, 67.35984415989525), (58.76059376346063, 77.2743324075012), (58.4643872462413, 87.2699445297855), (59.40903985169038, 97.22522611570854), (62.64550791132896, 106.68700578440402), (64.98875772613945, 116.40858900450715), (66.07152922832915, 126.34979647010437), (65.93447949155586, 136.34885729448433), (62.989363846099224, 145.90533644921942), (58.86328679570775, 155.01442466781918), (52.745202020697775, 162.92448400298167), (44.42457106310761, 168.4712939391154), (34.797896391660075, 171.17816201312837)]",sim_2021-01-28--00-19-40,False,,,
6,0.0,[],0.022968343894710645,0.02320034736839459,0.0,1.2229351811579834,-73.36193295876816,0.1453121740184664,0.1214692792617088,0.13714000892625414,33.56,9.535460824224685,Successful test,0.0,"[-0.027551020408163266, -0.005851728446480631, -0.015035401915868385, -0.03850478967097043, -0.04671565419170584, -0.031114428754782694, 0.00437364124599815, 0.01559813104191652, -0.030320236305022258, -0.0535282066682694, -0.053721193469780264, -0.048357940724826215, -0.040758343152990296, -0.04897670328548723, -0.027965803985288362, -0.024922026441773895, 0.011495405907050948, -0.00993316552152048, 0.015577038560112173, 0.024760712029499928]",0.45508983376157996,0.45508983376157996,0.0,1.9971625240359654,0.0,0.0,0.3153095299548841,0.5,0.5,49.0,13.816448321444298,0.022968343894710645,0.02320034736839459,0.0,1.2229351811579834,-73.36193295876816,0.1453121740184664,0.1214692792617088,0.13714000892625414,33.56,9.535460824224685,random,0.0,0.0,0.0,0.1440843218265062,-161.09148685182015,0.002870742543219753,0.0,0.0,0.0,0.0,PASS,"[(10.0, 11.05315474153959), (10.007963267107328, 21.05315157085794), (11.678199112257843, 30.9126805769299), (14.367150358490733, 40.544375193942145), (19.50805294442712, 49.121736128513604), (27.734510199715317, 54.807279288750465), (37.50299869116414, 56.94658585687762), (47.469485049148886, 57.76460155116713), (57.304770396939404, 59.57213083932194), (67.24635453698653, 60.65143838880155), (76.76632636467005, 57.590370535892674), (83.38606000164438, 50.09509692010582), (85.50050705424721, 40.32119730624957), (83.19611930063024, 30.590329046891615), (76.89883318435378, 22.82217691335614), (68.14650787922798, 17.985152853745234), (58.434176954456944, 15.603844808208892), (48.58397929382636, 13.87943011141823), (38.747551750388254, 12.078126921310522), (28.965865367206447, 10.0)]",sim_2021-01-28--00-20-23,False,,,
7,0.0,[],0.02148994775912849,0.02171380138161941,0.0,1.40530411248368,45.0078708219792,-0.08949030996970277,0.17143713736939656,0.20044343566022652,36.391752577319586,10.20238663413051,Successful test,0.0,"[0.005102040816326536, 0.02448979591836735, -0.00406913785922532, -0.049987505206164094, -0.04999643005890403, -0.007139651481464837, 0.02245218525322905, 0.0003229894665921773, 0.011547479262510547, 0.0207311527318983, 0.0031454702071968127, 0.044982204901074366, 0.03325659015562826, 0.06822972632970671, 0.03196469689529473, 0.0646100834833854, 0.0530439031071588, 0.05360258851603889, 0.029348523581248297]",0.5219441416691658,0.5219441416691658,0.0,1.997387105744255,0.0,171.62097178446513,0.2376230676582536,0.9747726047717306,0.9997529274741241,59.0,16.7027424737604,0.02148994775912849,0.02171380138161941,0.0,1.40530411248368,45.0078708219792,-0.08949030996970277,0.17143713736939656,0.20044343566022652,36.391752577319586,10.20238663413051,random,0.0,0.0,0.0,0.07927230565191401,-119.70329759930469,-0.3367166115914541,0.0,0.0,0.0,0.0,PASS,"[(15.55610640478433, 10.0), (15.564069671891659, 19.99999682931835), (14.097747174563679, 29.891907581737712), (11.63081863875027, 39.58284477063691), (11.840973847952768, 49.58063626616456), (16.817902293408807, 58.254169758854296), (24.037407956448703, 65.173616122642), (30.70651029234955, 72.62499680230681), (36.48571807690084, 80.78592551066971), (41.770663726299844, 89.27529235884505), (45.62274280780731, 98.5035905090899), (48.34831606052582, 108.12498596110545), (48.702358214594724, 118.11871670358308), (45.21911986116773, 127.49245931650003), (37.61976444787315, 133.99244372436058), (27.83244527313491, 136.0438781912157), (18.21163233667518, 133.31624946984445), (11.721681878592719, 125.70832313925769), (10.0, 115.85764745132006)]",sim_2021-01-28--00-21-05,False,,,
8,,[],,,,,,,,,,,The road is self-intersecting,0.0,"[0.013265306122448986, -0.03469387755102041, 0.006601416076634739, 0.04027488546438984, 0.06186478423106019, 0.04152560860296826, 0.047578745315133786, 0.04487425857871989, 0.05466821603647345, 0.06466679314583457, 0.05531976144685407, 0.011919785789011816, 0.01906264293186896, 0.042532030686971006, 0.0620951051721399, 0.041638418859823625, -0.005163149256903872, -0.030673353338536526, -0.05541605768792433, -0.03309489010738534, 0.008037241536225412, 0.0376290782709193, 0.03469817640182256, 0.028219514972321252, 0.0006963684484874756, -0.04318118257192069, -0.008858492251120544, 0.02685579346316517]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(46.76489660281475, 10.0), (46.77285986992208, 19.99999682931835), (47.85015695475331, 29.94179902967489), (50.308705243762425, 39.634865639918026), (50.448900486907924, 49.63388285631481), (45.68382158601798, 58.42558480009643), (37.196250691160536, 63.713414251276646), (27.25850815224809, 64.82753867444038), (17.8669115135065, 61.392729716844954), (11.254566619373016, 53.890936931048564), (10.0, 43.96994592220499), (14.565776291931805, 35.073110144692095), (21.811008402945028, 28.180606125285), (30.0329466730793, 22.488529959060457), (39.59346911779334, 19.556566353536137), (49.34014303409793, 21.793159201872136), (56.69620722399505, 28.56725099591457), (62.70167776390792, 36.56314516694002), (70.03606914083184, 43.36069642677646), (79.53787476577858, 46.47769656564885), (89.45913532026611, 45.22526332991541), (99.14612499158281, 42.742879171932664), (109.1435871561903, 42.517600972273506), (118.57410959712053, 45.84404749838984), (126.51253162468149, 51.925285506586434), (133.4919668822068, 59.08681351993752), (141.82438909533, 64.61589482357664), (151.2988125265807, 67.8151604651525)]",,False,,,
9,,[],,,,,,,,,,,The road is self-intersecting,0.0,"[-0.007142857142857145, -0.012244897959183675, -0.009183673469387754, -0.05918367346938776, -0.019112869637650985, -0.007888379841732608, -0.0007455226988754629, -0.03850062473969179, -0.06833674744366719, -0.036260733024435714, -0.017022096403214428, -0.06294046375015322, -0.019927345739930373, -0.02911101920931812, -0.005079299435227225, -0.016303789231145588, -0.04793644229237008, -0.06852931514882389, -0.0647478893009004, -0.04406533579430019, -0.04365532058169599, -0.04507112508790073, -0.03788762503767175, -0.0012937270723375749, 0.02217566068276447, 0.0400537736783973, 0.02757955338037408, 0.00021313214436409836, -0.04162360254951346]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(10.0, 18.981948139298247), (10.007963267107328, 28.981944968616595), (10.983759065832274, 38.934222223556326), (13.018235798293148, 48.72508043032632), (18.21707189251309, 57.26745148673894), (26.28200832033869, 63.17987911125425), (35.06934985525977, 67.95299431504421), (44.05449364994894, 72.34243516653757), (53.72302457820487, 74.89576822145983), (63.34457142183396, 72.17072944451533), (70.31893871101781, 65.00426581762358), (75.16051636691483, 56.254458631066925), (76.21443087040046, 46.31015049930921), (73.17573665079354, 36.783013603067644), (67.9152871745548, 28.278445929873442), (61.28471923315246, 20.79275499486635), (53.8931998508688, 14.057367758684236), (44.75330013201031, 10.0), (34.888368599288654, 11.638024985985851), (28.14647677806751, 19.023611941059322), (26.200961826371795, 28.832534999822116), (28.6052062342208, 38.53921356807226), (34.94304523923323, 46.27431516705228), (43.86068713501021, 50.79931936800978), (53.488567865768175, 53.50189455369834), (62.78235509124619, 57.19317062133966), (70.49979484500739, 63.55250420647783), (75.67039286642608, 72.11199695435144), (79.60551498264823, 81.30519084605302)]",,False,,,
