timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(11.374889373779297, 90.07530975341797, -28)	(-0.22881948947906494, 0.9734688401222229, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	1.8856427244325769
0.20000000298023224	(11.372729301452637, 90.07817077636719, -27.97018814086914)	(-0.23054784536361694, 0.9730442762374878, -0.005707070231437683)	(-0.03268403187394142, 0.10158224403858185, 0.1588481366634369)	-123.41505436381672	0.2880610019922477	0	0	0.5	0.5	0.08916475424575002	1	False	0	0	1.8838621808400033
0.4130000099539757	(11.34929084777832, 90.15291595458984, -27.903793334960938)	(-0.23455822467803955, 0.9720795154571533, -0.006629148963838816)	(-0.030418861657381058, 0.15245407819747925, 0.3657021224498749)	-213.07687933797678	0.43670644906160144	0	0	0.11781601558174692	0.11781601558174692	0.2581565482246501	1	False	0	0	1.8700736424836997
0.5887500196695328	(11.347750663757324, 90.16686248779297, -27.872037887573242)	(-0.2331574708223343, 0.9723623394966125, -0.012213300913572311)	(-0.03877344727516174, 0.225994274020195, 0.130011186003685)	-221.60847820469695	0.4332036152710449	0	0	0.5229529177912522	0.5229529177912522	0.2604714794323482	1	False	0	0	1.87031122493898
0.7595000267028809	(11.344253540039062, 90.21232604980469, -27.844064712524414)	(-0.22832675278186798, 0.973564088344574, -0.006305175833404064)	(-0.011130059137940407, 0.2911241948604584, 0.20219512283802032)	-216.60134693422393	0.421785780614425	0	0	0.6183505605483439	0.6183505605483439	0.3935503235239228	1	False	0	0	1.8725970917249566
0.9330000318586826	(11.339065551757812, 90.28848266601562, -27.807483673095703)	(-0.22075048089027405, 0.9753299355506897, 0.0008866041898727417)	(-0.06237056106328964, 0.6208034157752991, 0.222887322306633)	-210.58754998382796	0.4114991031246534	0	0	0.6521926464244163	0.6521926464244163	0.8210015767747699	2	False	0	0	1.8770908775105402
1.1107500419020653	(11.327128410339355, 90.45763397216797, -27.759458541870117)	(-0.20562058687210083, 0.97857666015625, 0.010390670038759708)	(-0.025577597320079803, 1.403374433517456, 0.34769824147224426)	-207.0378974154835	0.4039799215925023	0	0	0.2266954747788586	0.2266954747788586	3.2316879627753465	5	False	0	0	1.87857348117418
1.2952500507235527	(11.305590629577637, 90.7938232421875, -27.752792358398438)	(-0.17623946070671082, 0.9842854738235474, 0.011030182242393494)	(-0.11918362230062485, 2.1348702907562256, -0.06573747843503952)	-201.33465430808005	0.39239227394352433	0	0	0.23198185162815002	0.23198185162815002	2.7576951280225304	8	False	0	0	1.882386949546611
1.4907500632107258	(11.293245315551758, 91.29357147216797, -27.760215759277344)	(-0.13457921147346497, 0.9908760786056519, 0.0072781979106366634)	(0.0027265921235084534, 2.500487804412842, -0.10769113898277283)	-194.21780483655778	0.37678888296757906	0	0	0	0	2.313694134361557	9	False	0	0	1.9034997261880746
1.6862500756978989	(11.298378944396973, 91.7810287475586, -27.766403198242188)	(-0.0966704711318016, 0.9953129291534424, -0.002674512332305312)	(0.07466267049312592, 2.82857608795166, 0.043994370847940445)	-185.2896728152655	0.36153407190448006	0	0	0.08949709602592065	0.08949709602592065	3.000631432724439	10	False	0	0	1.9201449961368227
1.8737500868737698	(11.321352005004883, 92.31513977050781, -27.767858505249023)	(-0.054130103439092636, 0.9985224008560181, -0.0047909957356750965)	(0.1705949604511261, 2.6771063804626465, 0.0010266483295708895)	-179.69669438982626	0.3491749791059625	0	0	0.13842294935034252	0.13842294935034252	2.8086471080234743	10	False	0	0	1.9461090912601375
2.063250098377466	(11.366520881652832, 92.8788833618164, -27.765851974487305)	(-0.014227766543626785, 0.9998955130577087, -0.0025644616689532995)	(0.3159593343734741, 3.209599256515503, 0.014325647614896297)	-174.02995464095457	0.3410146911168176	0	0	0	0	3.34911838546168	12	False	0	0	1.9759638754330837
2.2510001063346863	(11.435741424560547, 93.4471206665039, -27.769001007080078)	(0.029226889833807945, 0.9995331168174744, -0.00891810841858387)	(0.42842280864715576, 2.991978406906128, -0.004662466235458851)	-172.46487383158714	0.33726159950362183	0	0	0.1855017458692735	0.1855017458692735	3.2043929668968745	11	False	0	0	1.9902159451945312
2.4355001151561737	(11.534748077392578, 94.05966186523438, -27.765811920166016)	(0.07322706282138824, 0.9973081946372986, -0.0037738613318651915)	(0.6153231263160706, 3.2842535972595215, -0.04506492614746094)	-173.9449610299457	0.34113312365517084	0	0	0	0	2.9707627556983165	12	False	0	0	1.9436023694448825
2.617250122129917	(11.65919303894043, 94.65280151367188, -27.767257690429688)	(0.11738414317369461, 0.9930592179298401, -0.0073806592263281345)	(0.8179521560668945, 3.5557405948638916, 0.07167111337184906)	-173.33455252895428	0.34050540625502934	0	0	0.05377167382534719	0.05377167382534719	3.722634327277143	13	False	0	0	1.893796827007223
