,accum_neg_oob,avg_brake,avg_brake_input,avg_oob_counter,avg_oob_distance,avg_steering,avg_steering_input,avg_throttle,avg_throttle_input,avg_vel_kmh,avg_wheelspeed,description,kappas,max_brake,max_brake_input,max_oob_counter,max_oob_distance,max_oob_percentage,max_steering,max_steering_input,max_throttle,max_throttle_input,max_vel_kmh,max_wheelspeed,mean_brake,mean_brake_input,mean_oob_counter,mean_oob_distance,mean_steering,mean_steering_input,mean_throttle,mean_throttle_input,mean_vel_kmh,mean_wheelspeed,method,min_brake,min_brake_input,min_oob_counter,min_oob_distance,min_steering,min_steering_input,min_throttle,min_throttle_input,min_vel_kmh,min_wheelspeed,outcome,road,simulation_file,visited,generation,parent_index,parent_min_oob_distance,parent_outcome
0,-1.5129970744413246,0.005288530854368602,0.00532058255651629,0.0,1.4091844690700113,-13.682191100293144,0.027182670449208406,0.15719799545783003,0.1637041614596465,24.47590361445783,6.946264814801507,Successful test,"[0.013265306122448986, -0.028571428571428567, -0.028950437317784253, -0.05699291961682633, -0.045568683116728584, -0.057847948263955694, -0.014189994359470416, 0.01132020972216223, 0.057238577069101015, 0.035417175119708724, 0.05446437910361998, 0.06732507669810694, 0.047425032870617265, -0.002574967129382738, -0.03828925284366845, -0.03331354209307563, -0.043463329212166016, -0.0637521085071156, -0.02637918618919169]",0.31451633858846506,0.31451633858846506,0.0,1.9842648633553337,0.0,151.6436311976628,0.3558583347708891,0.6376405762355897,0.6376405762355897,42.0,11.9521832368869,0.005288530854368602,0.00532058255651629,0.0,1.4091844690700113,-13.682191100293144,0.027182670449208406,0.15719799545783003,0.1637041614596465,24.47590361445783,6.946264814801507,random,0.0,0.0,0.0,-0.11080658252290654,-181.20041202208014,-0.29692688602387823,0.0,0.0,0.0,0.0,PASS,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (10.780462266215636, 29.970114446296428), (14.349359872519088, 39.31157952816241), (21.48556587639746, 46.31690349427635), (31.14083761854306, 48.919926272763846), (40.82062136176771, 46.40959030234003), (48.99448076961801, 40.64868565283427), (57.084838785689044, 34.771091997961975), (66.68006916840218, 31.95479053990413), (76.52244540890536, 33.72330119590215), (84.61922045619795, 39.59205181537305), (87.90365483005368, 49.03728822553425), (85.53541594145207, 58.75281417972299), (81.06597999589383, 67.69843558511188), (78.50460127007409, 77.36483817464425), (79.4928785506861, 87.3158837486845), (84.13614050708412, 96.1725263633702), (92.65172518668643, 101.41512281594238)]",sim_2021-01-25--09-15-11,False,0.0,,,
1,-2.4639793525570886,0.027359747571406766,0.027657136131965535,0.0,1.2434870198574408,-16.06111385101466,0.031732036862192524,0.14313109798421267,0.15633070548126346,35.946236559139784,10.117829783555175,Successful test,"[-0.015306122448979595, 0.002040816326530609, -0.03571428571428572, -0.051078717201166184, -0.040462307371928366, -0.009940925974721418, -0.010961334137986722, 0.016589686270176554, 0.02169172708650309, 0.05796225229630651, 0.04847669977626961, 0.010153973282184776, -0.015356230799447881, -0.026580720595366245, -0.026150134157008648, -0.01637150523257637, -0.005147015436657999, -0.020453137885637594, 0.02548372488520477]",0.5808171997577026,0.5808171997577026,0.0,1.9965651860760627,0.0,127.05685167416704,0.2546209738208395,0.6989157100599797,0.6989157100599797,51.0,14.430863505376722,0.027359747571406766,0.027657136131965535,0.0,1.2434870198574408,-16.06111385101466,0.031732036862192524,0.14313109798421267,0.15633070548126346,35.946236559139784,10.117829783555175,random,0.0,0.0,0.0,-0.43489047097120537,-129.10493070874156,-0.24748963842167163,0.0,0.0,0.0,0.0,PASS,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (10.678687920451594, 29.977477896170655), (13.011884803189517, 39.70147873463123), (19.217473640153543, 47.54307724428138), (28.2494434056223, 51.835340301883754), (38.066413704275845, 53.73983345108487), (48.028498218976665, 54.609817429074134), (57.962158564852444, 55.75977052932446), (67.49563809832412, 58.7785066862081), (75.11222509179953, 65.25829083159607), (78.38739408790812, 74.70674404082186), (78.7924927988758, 84.69853542347053), (79.45732452801585, 94.67641088731196), (82.18450463336112, 104.29735100109549), (87.32476044233516, 112.87509955291891), (94.15926910888786, 120.175064709467), (101.73816497999886, 126.6988931387604), (110.08783513992307, 132.2018930679328)]",sim_2021-01-25--09-16-06,False,0.0,,,
2,-0.3592211397432366,0.03756439157776615,0.037981773706408,0.0,1.1374423980997808,-53.63784514283969,0.1061205623739457,0.17968635037624384,0.26130438752463664,36.142857142857146,10.188888253182292,Successful test,"[-0.017346938775510204, -0.03469387755102041, -0.019512703040399836, -0.04094127446897126, -0.07, -0.026122448979591838, -0.03551436901291129, -0.01999830002804954, -0.01897789186478424, 0.012654761196440253, -0.0291819734974373, 0.00043030626729352595, 0.011654796063211896, 0.004511938920354751, -0.012834999855155453, 0.03716500014484455, 0.01759418376510574, 0.059430918458983295, 0.023028059213089085]",0.5497507730375323,0.5497507730375323,0.0,1.9913915090430878,0.0,58.35270478457971,0.2945883486066533,0.9914472658825695,0.9985880959173661,68.0,18.89131142828283,0.03756439157776615,0.037981773706408,0.0,1.1374423980997808,-53.63784514283969,0.1061205623739457,0.17968635037624384,0.26130438752463664,36.142857142857146,10.188888253182292,random,0.0,0.0,0.0,-0.0012318663061132717,-150.86469910997306,-0.11461320417259295,0.0,0.0,0.0,0.0,PASS,"[(10.0, 75.57606034918035), (10.007963267107328, 85.5760571784987), (12.588435344747651, 95.23738026886882), (17.66130184883157, 103.8551540783711), (25.069588393605983, 110.57209463717571), (34.904810797828674, 112.3799663858006), (44.46164001518571, 109.43598688344821), (52.67521466601889, 103.73184878420912), (59.01141430420242, 95.99540424262008), (63.72951375544966, 87.17840148838775), (68.16654654941888, 78.21666393447322), (71.84871820377055, 68.91926580876681), (74.16092709979392, 59.19025301089516), (77.05643895480918, 49.618627699723284), (80.71536354577054, 40.312056320441954), (83.98393624526179, 30.86131917944917), (88.37520205165177, 21.877067145048628), (95.03213270445508, 14.414810496837724), (104.0048384433619, 10.0)]",sim_2021-01-25--09-16-51,False,0.0,,,
3,,,,,,,,,,,,The road is too sharp,"[0.013265306122448986, 0.02857142857142858, -0.0027696793002915387, -0.024198250728862968, -0.06608972451954544, -0.05239664474107607, -0.0562033968859339, -0.025732969267790867, 0.02041939682477202, 0.06593548558468457, 0.06006978306657472, 0.027192702190410513, 0.03969557622544017, 0.017556294677838483, 0.002250172228858885, -0.04162737879154928, -0.009221232532221887, -0.028608987634262704, -0.04202315947987634]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(17.38291359944654, 10.0), (17.390876866553867, 19.99999682931835), (15.32205281998371, 29.78365499302854), (12.011741631037296, 39.219853371206916), (10.0, 49.01540826156159), (12.463219499680179, 58.70728886835795), (19.918423258633567, 65.37211721667175), (29.74505103660084, 67.22613623310116), (39.496990032679534, 65.01261283888107), (49.186685855337004, 62.540812914863324), (59.02151245719634, 64.35083659187967), (65.90176576280095, 71.60770330215601), (69.07069713407333, 81.09231578576153), (68.95080607753985, 91.09159706666183), (66.01233888906728, 100.6501226110264), (62.14321272274927, 109.87128645888819), (60.15264782548783, 119.67116663110411), (60.690867707974434, 129.65667209442924), (63.09701471640528, 139.3628792101784)]",,False,0.0,,,
4,,,,,,,,,,,,The road is too sharp,"[0.009183673469387754, -0.036734693877551024, -0.06660141607663474, -0.051473960679648795, -0.001473960679648792, -0.0004535525163834875, 0.000566855646881817, 0.03219950870810631, 0.023411984212464577, 0.06211526401734405, 0.04873621943494272, 0.0394583797578326, 0.06835629346444558, 0.02257210624285818, 0.07, 0.05469387755102041, 0.020687213660974597, 0.007169461703881892, -0.01834074237775076]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (11.38904897112377, 29.904167782919735), (17.48248094202833, 37.833233731438405), (26.95838944934262, 41.028098041703984), (36.940125294259616, 41.6322085632968), (46.92721964246843, 42.140092880809725), (56.914024663648206, 42.65363496179099), (66.68334328837116, 44.78914745499755), (75.49125375869863, 49.524199001358554), (81.54227386942654, 57.48567848821064), (82.49718240655298, 67.43998156204374), (79.11204984781267, 76.84959779012426), (71.37663907900551, 83.18705944585224), (61.64396710448099, 85.48381721198803), (51.90985342415178, 83.19317737595362), (45.344540274356945, 75.6501896890267), (42.01621765692562, 66.22032921528188), (40.02930759942328, 56.41970737667408)]",,False,0.0,,,
5,0.0,0.037001726389978944,0.0374529669557104,0.0,1.37179699159466,2.521956364478827,-0.004803967251244194,0.19515097595128217,0.20713083109841746,40.75903614457831,11.490110722048554,Successful test,"[-0.0010204081632653045, 0.01836734693877551, -0.01122448979591837, -0.026530612244897965, 0.004394002498958771, -0.03336109954185756, -0.00104250779862132, 0.044875859548317465, 0.056201688488466475, 0.04135586013767883, -0.007039157416151355, -0.012141198232477883, 0.003164924216501712, -0.034590177824314616, -0.03862496328240129, -0.026821409088621094, -0.003443863634729344, -0.03099488404289261, 0.00992296126760664]",0.6130720258576736,0.6130720258576736,0.0,1.998879121963939,0.0,115.30758268281214,0.1623223740473038,0.9998691264000842,0.9998691264000842,55.0,15.48422824115909,0.037001726389978944,0.0374529669557104,0.0,1.37179699159466,2.521956364478827,-0.004803967251244194,0.19515097595128217,0.20713083109841746,40.75903614457831,11.490110722048554,random,0.0,0.0,0.0,0.15694185129631788,-82.92294825162371,-0.22728225896495982,0.0,0.0,0.0,0.0,PASS,"[(37.34860331081701, 10.0), (37.35656657792434, 19.99999682931835), (36.498240332327754, 29.963092535780277), (35.284712222045, 39.889186909981724), (35.95543687538927, 49.86666797683403), (37.724141863597666, 59.70900929710365), (40.8948694892736, 69.1930214398508), (45.64218879998653, 77.99432585238716), (48.362399413337016, 87.61723883230209), (46.08364585012647, 97.35414194356674), (39.50723755418478, 104.88745820701071), (31.7411399921083, 111.18727793905937), (24.61396629609156, 118.20179111580991), (17.808684941252466, 125.52901062128942), (12.233804709869432, 133.83086043959707), (10.0, 143.57817373702244), (11.017741364580715, 153.52624905412884), (13.523519067552797, 163.2072137841177), (17.6510152169312, 172.31565907060136)]",sim_2021-01-25--09-17-48,False,0.0,,,
6,,,,,,,,,,,,The road is self-intersecting,"[-0.05, -0.028571428571428574, -0.05880466472303207, -0.04002677455821979, -0.05857525350831712, -0.031139446097098587, -0.03735734754587295, -0.061567076280191126, -0.07, -0.03224489795918368, -0.032390670553935866, -0.07, -0.025102040816326533, -0.027392753019575188, 0.016937415532643718, 0.060814966553051894, 0.060337137396416635, 0.03834215453687413, -0.003325412252602822]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(41.04988235809603, 22.6066915426792), (41.057845625203356, 32.60668837199755), (44.89349559962905, 41.841827205479596), (52.27641166415884, 48.58664376222211), (61.97509827094994, 51.022927428639235), (71.67183335403715, 48.57888800006489), (79.34930560667999, 42.17135963025652), (84.4290699006875, 33.55764993481597), (84.81109486998426, 23.56494975304158), (79.0038072282396, 15.423978665631946), (69.95607018853747, 11.165052221045004), (60.0241693975389, 10.0), (50.79490789332779, 13.849770394047805), (44.35194190384527, 21.497527533129272), (40.114008973007785, 30.555116863283473), (36.35515067321745, 39.821776686655504), (29.364319345647502, 46.97218068569406), (19.54602126096134, 48.86981677310601), (10.0, 45.89097839459768)]",,False,0.0,,,
7,0.0,0.028387320720186404,0.028686134622504154,0.0,1.5901184802121497,48.413679392512115,-0.09580139916841493,0.16253753805519855,0.20932461518300174,36.520833333333336,10.233836072227996,Successful test,"[0.04183673469387755, 0.028525614327363606, -0.004672967896029709, -0.013856641365417463, -0.031203580140927667, -0.02650787598739314, 0.019676118950867807, 0.0349822413998474, 0.02141842365705566, 0.051893179855377565, 0.040811362795161815, 0.03767810726333136, -0.00896181548211074, -0.012023039971906652, 0.0298136947219709, -0.001780936853941529, 0.02985171620728297, 0.022166216763048106, -0.0038744893830044876]",0.48362224278937127,0.48362224278937127,0.0,1.9958158990586234,0.0,157.79169114726437,0.13140421615012032,0.9782304493656294,0.9782304493656294,57.0,15.84994898187519,0.028387320720186404,0.028686134622504154,0.0,1.5901184802121497,48.413679392512115,-0.09580139916841493,0.16253753805519855,0.20932461518300174,36.520833333333336,10.233836072227996,random,0.0,0.0,0.0,0.5590890225514051,-67.18914828916562,-0.3085430053495767,0.0,0.0,0.0,0.0,PASS,"[(106.94831495671767, 10.0), (106.956278223825, 19.99999682931835), (103.51776335613746, 29.390237268449383), (98.98641631899575, 38.304657834531454), (95.29922575731429, 47.60006668846828), (93.78181511915011, 57.48426948662991), (95.13988333984888, 67.39162285208167), (96.83551667111608, 77.24681577794038), (95.80827957350067, 87.19391505085822), (92.053535706205, 96.4622427582176), (85.2264246713159, 103.7691268353941), (75.85276802312154, 107.25259651974068), (65.85947983455445, 106.88627537614481), (56.021440184394194, 105.09379780532983), (46.04977535576462, 104.34153419098183), (36.18436393926493, 102.70640190789359), (26.644138002584235, 99.70905490144187), (17.61703488107679, 95.4065661758703), (10.0, 88.92730853162898)]",sim_2021-01-25--09-18-35,False,0.0,,,
8,,,,,,,,,,,,The road is too sharp,"[0.037755102040816335, 0.0045397750937109585, -0.04341940857975843, 0.00032911456960960095, -0.04558925277732918, -0.012293706235479776, -0.01943656337833692, -0.020456971541602226, -0.05171658660968205, -0.04770337521948802, -0.009506905795898135, -0.05950690579589814, -0.06135812939941403, -0.07, -0.03224489795918368, -0.039554352353186176, -0.061791260444202675, -0.07, -0.04448979591836735]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(12.246058600417157, 10.0), (12.254021867524486, 19.99999682931835), (10.162791723338927, 29.77889024749454), (10.0, 39.777565102434686), (11.978573545930061, 49.57987333689384), (16.10608346274823, 58.688312384643325), (22.66140482113866, 66.23998517206137), (30.327462920369285, 72.6611652208702), (39.11386126085944, 77.43601644391704), (49.02026883395912, 78.80096662455847), (58.37861212826219, 75.2765644361054), (66.36221644753486, 69.25476552935913), (71.83826029371328, 60.88739176008532), (71.59001906969662, 50.890473420181834), (65.2895212219981, 43.12492599123993), (55.99530718515457, 39.434724717956755), (45.99710421052974, 39.24515341684991), (37.163301669045026, 43.93172280799927), (33.04856623089002, 53.04593984919328)]",,False,0.0,,,
9,,,,,,,,,,,,The road is self-intersecting,"[0.045918367346938785, 0.03522698875468555, -0.011312888337342434, -0.004170031194485287, -0.035802684255709774, -0.06656337486758, -0.020925548347777552, -0.02956144830521533, -0.029394935973770152, -0.040414672971026994, -0.06350323860987976, -0.060776038956715066, -0.06879134773381052, -0.05954925463955317, -0.06506524527669823, -0.06887888255666731, -0.06791342377782317, -0.047677181619067074, -0.052288289376098064]",,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,INVALID,"[(25.709918576241947, 10.0), (25.717881843349275, 19.99999682931835), (21.778333450758566, 29.19129480416586), (16.770522376906968, 37.84703441719775), (12.447121265138932, 46.864140539827275), (10.0, 56.56009833231507), (12.615304633923401, 66.21205055307222), (19.07316349263236, 73.84723614092758), (27.233337349495457, 79.62750971799709), (36.72087611335546, 82.78766923996017), (46.71708939303069, 82.51249644471203), (55.25740303225582, 77.31028124888773), (59.1726650968274, 68.10861167398305), (56.74179259476021, 58.408567401986474), (48.98841130527791, 52.09310395264995), (39.0066909602572, 51.48873738027868), (30.805900155654314, 57.21123947107259), (28.06553556034541, 66.82843250671337), (31.02422786107438, 76.38071704338873)]",,False,0.0,,,
